advmean,advstd,curr_cr,curr_iter,curr_lr,elapsed_time,ev,expected_time,frac,opt_approxkl,opt_clipfrac,opt_ent,opt_pg_loss,opt_policy_loss,opt_vf_loss,retmean,retstd,rew_mean,vpredmean,vpredstd
-2.2351742e-08,0.99999946,0.1,31,0.0001,3.6241860389709473,0.903857946395874,15.72997412747807,0.998016,7.657069e-15,0.0,1.916661,-0.019759074,0.002182778,0.023858514,0.34019786,0.61982363,0.328125,0.39192772,0.61135983
-7.450581e-09,0.9999994,0.1,32,0.0001,3.7646470069885254,0.9295831397175789,16.33961374560992,0.997952,9.884454e-15,0.0,1.8765937,-0.012970574,0.0007281145,0.015575282,0.3545876,0.6485195,0.39257812,0.3328648,0.61491925
-7.450581e-09,0.9999994,0.1,33,0.0001,3.649681568145752,0.9165827184915543,15.84063180618816,0.997888,1.3451046e-14,0.0,1.9858693,0.19876021,0.21234246,0.015568104,0.2127954,0.6768332,0.33398438,0.20009828,0.6523327
-7.450581e-09,0.99999934,0.1,34,0.0001,3.6845498085021973,0.9541106857359409,15.991969654957453,0.997824,7.032569e-15,0.0,1.9830991,0.045842044,0.05941435,0.015555404,0.18882585,0.7375798,0.2607422,0.22644594,0.74048233
5.2154064e-08,0.99999934,0.1,35,0.0001,3.53568434715271,0.9612372294068336,15.345852201183638,0.99776,9.8393516e-15,0.0,1.9458084,-0.160525,-0.15463836,0.00783244,0.17188627,0.7483544,0.30078125,0.20495048,0.7562225
-1.4901161e-08,0.9999992,0.1,36,0.0001,3.559619665145874,0.9523992985486984,15.449738129973412,0.997696,8.520962e-15,0.0,1.88094,0.14496873,0.15537375,0.012285956,0.09147851,0.6547423,0.18847656,0.075666666,0.62906003
0.0,0.9999991,0.1,37,0.0001,3.7062060832977295,0.9545119218528271,16.08596390320195,0.997632,7.154867e-15,0.0,1.9843906,-0.05386523,-0.050184682,0.005664943,-0.13133585,0.5326763,0.05078125,-0.11851882,0.52770966
-1.4901161e-08,0.99999934,0.1,38,0.0001,3.5768399238586426,0.9562959223985672,15.524478836192024,0.997568,7.702172e-15,0.0,1.9528496,-0.043075398,-0.034397677,0.0106305685,-0.037610106,0.6904773,0.12695312,-0.01187595,0.70808166
2.9802322e-08,0.9999993,0.1,39,0.0001,3.4283528327941895,0.9592027440667152,14.880003614558113,0.997504,1.0565333e-14,0.0,1.9084148,-0.011917092,-0.0023915553,0.011433952,-0.0239036,0.683513,0.13085938,0.005727455,0.6963946
0.0,0.99999917,0.1,40,0.0001,3.5101583003997803,0.9579147733747959,15.23506206770738,0.99744,1.3444974e-14,0.0,1.8764752,-0.13595085,-0.12987536,0.007951964,-0.16654128,0.55784553,0.103515625,-0.18273963,0.50690407
